3658 USA|MO The BOSONS
3665 USA|MO Leopold GearHeads
3666 USA|AZ Hawks Robotics
3668 USA|VA Smokie Jr.
3670 USA|OK Metal Mustangs
3697 USA|TX Devastatorz
3708 USA|TX Iron Eagles Optimus
3726 USA|GA Mechanics In Blue
3734 USA|TX Imperial Robotics
3736 USA|FL Serious Business
3737 USA|MA Hank's Tanks
3738 USA|IA 3738 Robotics
3744 USA|NY LREI Robotics
3746 USA|CO NECO Robo Knights
3749 USA|VA Bionic Penguins
3750 USA|NY Error: 404
3758 USA|IL Aztec Eagles
3763 USA|MN Piece of Cake
3764 USA|MN Extendomatics
3766 USA|AK Crock 'em, Sock 'em Robots
3774 USA|NJ Hive Voltage
3777 USA|NJ Mecha Lion
3781 USA|TX Pi-Rho Maniacs
3788 USA|IA Vacation Bots
3791 USA|CA Ziptiez
3795 USA|PA JagWired
3796 USA|MD Talons
3804 USA|VA Team Snuffleupagus
3805 USA|WA Atomic Robotics
3819 USA|GA Green RoboDragon
3825 USA|AK DimondX
3830 USA|FL SkyNet
3836 USA|OR The Iron Giants
3841 USA|WV RoboBots
3846 USA|FL Maelstrom
3847 USA|CO Puma Robotics
3848 USA|CA Shockwave
3860 USA|WA The Revolution - Blue
3861 USA|WA Vashon Pi-r8s "Pirates"
3866 USA|IA Blood Sweat and Gears
3873 USA|CA Scotbotics
3886 USA|MD Quake
3888 USA|FL Greased Lightning
3896 USA|NY Techneetics
3899 USA|TX Terror Bytes
3900 USA|PA Mechasharks
3901 USA|RI The Patriots
3903 USA|OH Jaguars
3916 USA|NC Apex Robotics
3922 USA|NY Modibot
3931 USA|GA RoboCopz
3938 USA|MA Acton Robotics Team
3939 USA|FL Bolts of Steel
3944 USA|NJ Team Mercury
3954 Netherlands|ZH Pink to the Future
3963 USA|OR Junkers
3965 USA|OR Twisted Metal
3972 USA|MA Falcon Engineering and Robots
3976 USA|NC Fighting Hornets
3981 USA|NY The Griffins
3983 USA|NJ Highlands Undefined
4008 USA|TX Bronc Botz - Atlas
4017 USA|NY roboPandas
4027 USA|TX Legacy
4029 USA|MA 2 Bits and a Byte
4042 USA|WA Nonstandard Deviation
4053 USA|WA Team #2
4054 USA|WA Team #3
4060 USA|WA RoboRams
4077 USA|PA MASH
4081 USA|MD The Droids
4087 USA|WY Midwest π-rate Rebels   (Pi-rate Rebels)
4093 USA|NY Gears
4096 USA|MA T-10   ("T minus Ten")
4097 USA|OR The Pac-Bots
4100 USA|GA Darbots 1
4102 USA|NJ CHS Cougars
4104 USA|CO Robo Lobo
4105 USA|VA Teal Tornadoes
4106 USA|WI Supposable Thumbs
4107 USA|NY MohonBots
4115 USA|WI Men in Kilts
4116 USA|WI Volta Robotics
4130 USA|AE Expected Error!!
4133 USA|MT Fusion
4137 USA|NY IslandBots
4141 USA|MD Wired Warriors
4143 USA|OR Asimov's law
4144 USA|IA Engineer Imagineer
4149 USA|PA Terabytes
4150 USA|IA Dark Matter
4153 USA|CA Droidnoughts
4155 USA|OK Rougher Robo Royalty
4156 USA|IA RoboCats Red
4157 USA|CA The Duckinators
4169 Canada|AB Systems Overload
4173 USA|IA Bionic Bulldogs
4174 USA|NY Atomic Theory
4175 USA|IA MechaMETROzilla
4177 USA|IA Finger Tightans
4185 USA|PA Silver Soldiers
4192 USA|MO Bulldozers
4193 USA|MO Those Guys
4194 USA|MO Technomancers
4200 USA|DE The X-Squared Factor
4210 USA|NC SuperNova
4213 USA|WA Biomecha
4215 USA|NJ Hypnotic Robotics
4216 USA|CA Rise of Hephaestus
4217 USA|IN ROAR (Robots On A Rampage)
4218 USA|MD Late() Knights
4221 USA|GA Smíða Syndicate
4224 USA|OK Y-Not Robots
4227 USA|FL Metal Morphosis
4232 USA|GA Global Dynamics "Plasma"
4234 USA|MD TechBrick FTC 4234
4237 USA|IA Hordes of Nords
4244 USA|NY Chimera Tech
4250 USA|OK LIGHTSABERS
4262 USA|CA Ridgebots
4266 USA|OK Makin' Stuff Move
4267 USA|WI RoboChix
4273 USA|WY Aluminati
4276 USA|OR ERROR 4276
4278 USA|CA De.Evolution
4281 USA|OK R2D2
4283 USA|IA Fully Updated
4284 USA|CO Polar Droids
4286 USA|CT Dragonoids
4287 USA|CO Red Meteors
4290 USA|TX LASA High PHidelity
4318 USA|MD Green Machine Reloaded
4323 USA|VA iCATZ
4324 USA|IA Lost In Time
4326 USA|NY Basement Lions
4327 USA|GA Silver Titans
4328 USA|NJ C'est la vie
4329 USA|IA Oelwein Huskies
4333 USA|RI Elite Machinez
4344 USA|CA Rickrollers
4345 USA|CA ART
4347 USA|NJ NanoGurus
4348 USA|CA RoboKnights
4356 USA|NY Gears
4358 USA|AK Error: 404
4360 USA|OH BLHS REACH
4362 USA|MD Aftershock
4366 USA|IN Cyber Devils
4378 USA|OK Black Box Robotics
4389 USA|IA Higgs Bozos
4390 USA|NJ The Typhoons - Storm Robotics Team
4396 USA|PA Decepticons
4399 USA|PA Autobots
4410 USA|MA ARC Lightning
4412 USA|OR Shower handles
4416 USA|TX The Astroneers
4417 USA|VA The Venom
4419 USA|VA Pokebots
4426 USA|IA River Kings Robotics
4432 USA|CA Solista
4433 USA|PA Smokin' Motors
4443 USA|IA Sock Monkeys
4444 USA|KY Whitefield Robocats
4448 USA|WA Avanti Avengers4448
4451 USA|DC Fox Enterprises
4452 USA|MD Wolverines
4454 USA|TX Mohawk Warriors Green
4455 USA|TX MoHawk Warriors Red
4466 USA|MA Robots and Brain Bots Inc.
4469 USA|FL Hydra Beta
4475 USA|CA Purple Reign
4480 USA|OR Blue Dwarves
4481 USA|NY Woodlands Falcons
4486 USA|NJ MAD Robots
4509 USA|MN Excalibots
4510 USA|OH Techno Jackets
4512 USA|CA West Torrance Robotics
4524 USA|TX The Mob
4531 USA|RI Axlegators
4535 USA|MT RedNek Robotics Too
4537 USA|OH DRSS Enterprise
4545 USA|TX ViperBots Ouroboros
4546 USA|TX ViperBots SnakeByte
4549 USA|TX Motor Lutherans
4574 USA|NJ SMPTE Color Bars
4587 USA|MO Red Hot Techie Peppers
4592 USA|VA Nuts and Bolts
4600 USA|IN B1nary B0ts
4601 USA|IN βeta Bots
4602 USA|TX Bronc Botz - Prometheus
4604 USA|MT The Force
4605 USA|WI RoboHackerz
4622 USA|NC L.O.C.S.
4625 USA|CA Kings and Queens
4628 USA|CA Suit Bots
4630 USA|CT FeMales
4634 USA|VA FROGbots
4641 USA|TX RoboSharks
4644 USA|MN Robotic Adrenaline
4650 USA|MN Crusader Robotics
4653 USA|NC Irrational DoorKeepers
4654 USA|NY Jellyfish 
4662 USA|OR Bulldog Robotics
4664 USA|TX NOSIDE 1
4665 USA|TX NOSIDE
4705 USA|TX Adamas Robotics
4707 USA|TX R2 - DCrew
4717 USA|FL Mechromancers
4719 USA|TX Toltechs Galileo
4720 USA|TX Toltechs Newton
4721 USA|TX Toltechs Einstein
4736 USA|CO Chelonians of Cerulean
4745 USA|TX Thorn's Army
4749 USA|TX Longhorn DynamiX
4750 USA|TX AZTECHS
4751 USA|TX Iron Horns
4752 USA|TX U-nightbots
4774 USA|CT Fairfield Prep JesuBots 
4780 USA|NY Terraroids
4781 USA|NY MechaKnights
4782 USA|NY The Super Troublemakers
4783 USA|NY Dynamic
4785 USA|NY Anonymous Autonomous
4798 USA|TX ROBUFFS Dough Boys
4809 USA|NY Botman
4811 USA|TX Toltechs Copernicus
4812 USA|TX ROBUFFS Team One
4813 USA|MT EngiNERDS
4821 USA|WV STARbot
4822 USA|WV ZION
4842 USA|TX Alpha Wolves
4843 USA|TX Omega Wolves
4844 USA|TX Delta Wolves
4848 USA|TX Team Chaos
4849 USA|TX Team Sabotage
4856 USA|PA Minnie MASH
4859 USA|TX LHS RoboRaiders
4885 USA|TX OmegaBotzs
4886 USA|TX Robo Junkies
4890 USA|NJ Hive Voltage 2.0
4894 USA|TX The Lone Rangers
4895 USA|TX The Gunslingers
4897 USA|TX Bodacious Bulldawgs
4902 USA|TX Team Meddling Kids
4906 USA|TX Midland High Junkyard Dawgs
4914 USA|PA Vulcan FTC 4914
4920 USA|TX Marvelous Robotics
4921 USA|TX The Robotics Regiment
4924 USA|VA Tuxedo Pandas
4932 USA|TX Team C.I.A.
4933 USA|PA Short Circuits Too
4936 USA|NJ Sparks
4943 USA|CA SES Robotics
4946 USA|VT Robo Raiders
4947 USA|CA Cougarobotics Alpha
4950 USA|CA Tino 49ers
4951 USA|AK RoboLynx
4957 USA|NY FM Robotics Team
4960 USA|FL Stealth Tigers
4962 USA|OK The Rockettes
4964 USA|MO Rolla Patriots
4965 USA|IL Animatores Romani
4969 USA|OH Robot-X
4970 USA|VA Loose Screws
4991 USA|MD Gear Freaks
4992 USA|NV Metal Falcons
4995 USA|NY Titanium Tigers
4997 USA|FL Masquerade
4998 USA|CA Q
5002 USA|GA Steel Wolves
5009 Canada|AB Helios
5011 USA|CA Bot Squad
5014 USA|DC Clout9
5015 USA|CA Buffalo Wings
5017 USA|CT RoboEpic
5020 USA|NY KilaBots
5023 USA|IA Bulldogs
5026 USA|ID Tesla Coils
5029 USA|OH PowerStackers
5030 USA|RI Udderly Supreme
5035 USA|MO WIRED
5037 USA|IL got robot?
5039 USA|OR DevilBots
5040 USA|OH Nuts & Bolts
5043 USA|IA The Duck Pirates
5044 USA|OK Davy Jones Locker 
5053 USA|ID Clearwater Atomic Robotic Technicians #2
5060 USA|MA Milton Static
5063 USA|IA TNT
5064 USA|NC Aperture Science
5065 USA|NY Bee Awesome
5070 USA|FL N.U.T.S.
5072 USA|IL Wildcats
5076 USA|WA CyberStorm
5086 USA|VA Tutu Turtles
5094 USA|IA Still Under Development
5095 USA|MO The LEPTONS
5100 USA|GA DarBots 2
5105 USA|AL Dragons
5108 USA|MO Wild RoCATics
5110 New Zealand|AUK Wingus & Dingus
5115 USA|CO Wizards Robotics 5115
5116 USA|GA Pawbotics
5118 USA|MO The HADRONS
5119 USA|MO The BARYONS
5122 USA|AK Franklin & Friends
5125 USA|FL Raiderbots
5126 USA|IA DICE
5131 USA|CA Pointers
5132 USA|NM AHERT Ravens
5135 USA|CA Team Uncopyrightable
5136 USA|CA Crusader Creators
5140 USA|OH WACO Aerobotics
5141 USA|OK Warrior Bots
5143 USA|IA Xcentrics
5149 USA|IA Robota Red
5153 USA|IA Gear Grinders
5154 USA|IA R.O.M.
5158 USA|FL T.I.T.A.N.S.
5159 USA|HI Cantina Band
5161 USA|GA Eaglemaniacs
5163 USA|NY Flying Dragon
5170 USA|GA G.E.A.R.S. Black
5175 USA|TX Vector Robotics
5177 USA|GA Global Dynamics "Noodle Squad"
5178 USA|MD Mech Hawks
5179 USA|OK Cyberstorm
5187 USA|IL Transistor Titans
5190 USA|MO Technoramic
5196 USA|CO Robo Yetis
5197 USA|CA GearHeads
5198 USA|OR Wingnuts
5199 USA|IL Duct Tape and a Prayer
5202 USA|IL Zip TIE Fighters
5206 USA|CA The Knights of Ni
5209 USA|IL Operation: BisonBot
5211 USA|CA The Iron Ducks
5212 USA|NJ Megahertz!
5214 USA|CA Tech Support
5218 USA|CA Javabots
5220 USA|CA RoboKnights 5220
5223 USA|AK JABOTs
5224 USA|PA Robowolves
5225 USA|DC Anonymous Autonomous
5233 USA|MD Vector
5234 USA|MO Tiger Steel
5237 USA|MI Loose Screws
5248 USA|MO The FERMIONS
5266 USA|OR Glasses 1/2 full
5267 USA|OR JunkMonks
5270 USA|NC Q
5273 USA|MA ARC Thunder
5276 USA|MA Broken Code
5283 USA|NY LAIMO
5285 USA|CA Robo Knights
5289 USA|MI Martians
5290 USA|MI Steel Eagles
5291 USA|MI TOWR The Oxford Wildcats Robotics
5292 USA|MI Red Storm Robotics-White
5300 USA|IN The Dirty Dozen
5309 USA|NC Plan B
5319 USA|NY Buff Sci-borgs
5320 USA|PA RoboLancers Gold
5321 USA|PA TechHeroes
5325 USA|CA The Muses
5330 USA|MN Robotic Rush
5332 USA|NJ Cougar Current
5339 USA|NJ W.A.L.K.E.R.S.
5340 USA|IA Gone Phishing
5356 USA|NY Tardis
5361 USA|NY Lionotics
5363 USA|CA YULA
5380 USA|CA ElectroMedics Red
5383 USA|MI Neutrinos Breaking the Laws of Physics
5384 USA|MI Emergency Situation Evacuate Now
5385 USA|MI Enigma Riddlers
5386 USA|MI Fabricators
5387 USA|NJ TecHounds
5389 USA|AK Wired Wolves
5390 USA|CA Vikings
5391 USA|MI Enigma Puzzlers
5395 USA|OK Team Clutch
5397 USA|MA The Bot Side
5398 USA|NJ Robotux
5401 USA|VA Washable Warriors
5404 USA|MO Titanium Titans
5406 USA|NJ Optimus Bee
5411 USA|MI G3 Geeks, Gears, and Gadgets Green
5422 USA|KS Horse Power
5423 USA|WA CyberShock
5424 Canada|AB M&M
5429 USA|VA Team CLUTCH
5436 USA|MA Aluminum Cobblers
5437 USA|OH WRAptors - Slice
5439 USA|MO The GLUONS
5443 USA|TX Synergy
5444 USA|VA Duck-Tech
5445 USA|IA Trohawks
5446 USA|WA Game Over
5447 USA|WA Robo Knights
5449 USA|MI High Voltage
